timestamp,time_of_day,day_of_week,temperature,humidity,lux,occupancy,energy
1/1/2023 0:00,0,Sunday,25.58278093,55.34690394,0,0,0.31073456
1/1/2023 1:00,1,Sunday,25.72425961,55.13209142,157.9816718,0,0.446608693
1/1/2023 2:00,2,Sunday,27.23375532,51.78670712,225.0096667,0,0.5726498
1/1/2023 3:00,3,Sunday,28.73041698,53.92091826,348.0378597,0,0.696338049
1/1/2023 4:00,4,Sunday,27.44998962,50.54984088,478.6956243,0,0.615298305
1/1/2023 5:00,5,Sunday,27.7497073,52.04180697,545.5267498,3,2.4
1/1/2023 6:00,6,Sunday,29.6652796,48.20265662,563.6821887,0,1.787094034
1/1/2023 7:00,7,Sunday,28.75127899,55.86648564,755.6415064,0,1.209202925
1/1/2023 8:00,8,Sunday,27.21466861,53.20809985,829.6200166,0,0.774605772
1/1/2023 9:00,9,Sunday,27.74994717,57.68379977,758.2469356,0,0.656817456
1/1/2023 10:00,10,Sunday,26.12264909,55.9323104,827.6015954,0,0.356520117
1/1/2023 11:00,11,Sunday,25.39679416,55.65811993,973.2555599,0,0.1
1/1/2023 12:00,12,Sunday,25.32802905,53.63072718,909.2813871,0,0.168070814
1/1/2023 13:00,13,Sunday,22.3963294,54.46950229,892.4424262,0,0.267651437
1/1/2023 14:00,14,Sunday,21.86114895,57.92925378,852.2779074,3,2.4
1/1/2023 15:00,15,Sunday,22.40245891,56.41549664,790.2634732,3,2.4
1/1/2023 16:00,16,Sunday,21.47515945,54.4363637,771.6461577,3,2.4
1/1/2023 17:00,17,Sunday,22.50253663,53.46476119,752.9949158,3,2.4
1/1/2023 18:00,18,Sunday,21.17804271,55.37576692,635.7689847,2,2.4
1/1/2023 19:00,19,Sunday,20.7759856,61.17634309,572.2966495,2,2.4
1/1/2023 20:00,20,Sunday,23.95363934,60.05437223,520.6282859,2,2.4
1/1/2023 21:00,21,Sunday,22.73897014,56.76659621,321.1959619,2,2.4
1/1/2023 22:00,22,Sunday,23.65359499,56.1057286,245.0521366,0,1.499705874
